time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1722	1.32779	5.16493	0.208932	0.162699	radar	5.05923	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3952	1.40905	5.12502	0.230068	0.177102	lidar	1.30629	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.625	1.48454	4.9551	0.24848	0.188637	radar	3.44533	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8452	1.5205	4.91576	0.248227	0.178376	lidar	0.958422	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1137	1.57146	5.027	0.249804	0.169699	radar	2.17885	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3936	1.62424	5.08155	0.251212	0.161713	lidar	1.98745	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6237	1.67821	5.00857	0.256778	0.159371	radar	0.653569	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8515	1.74541	4.98787	0.266986	0.161898	lidar	0.280058	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1107	1.83394	5.11509	0.281523	0.16816	radar	1.60039	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3531	1.86972	5.09485	0.275126	0.15204	lidar	0.514088	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6106	1.93295	5.1841	0.277842	0.146026	radar	0.758636	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8128	2.06294	5.13845	0.313484	0.177169	lidar	3.46207	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0831	2.17165	5.2916	0.330068	0.1844	radar	2.98509	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2897	2.31055	5.25179	0.365002	0.212688	lidar	2.84214	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4666	2.4416	5.00917	0.400751	0.243114	radar	11.4446	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7165	2.56296	5.05327	0.4197	0.250446	lidar	0.973086	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9365	2.67028	5.01685	0.435157	0.254146	radar	0.204671	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.166	2.82706	5.05475	0.46748	0.275453	lidar	0.93573	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4178	2.94114	5.19189	0.474469	0.265789	radar	1.26075	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6222	3.01901	5.1225	0.474502	0.251504	lidar	2.09137	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8558	3.17338	5.22262	0.498754	0.262893	radar	3.67839	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0676	3.36663	5.25264	0.540513	0.293968	lidar	1.39521	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.279	3.52714	5.17648	0.568964	0.311181	radar	2.85479	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4943	3.71801	5.21907	0.603812	0.332045	lidar	0.833894	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.7049	3.85046	5.18449	0.614798	0.326423	radar	0.932152	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9254	3.99899	5.19615	0.628332	0.323394	lidar	0.144064	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1212	4.15273	5.07803	0.650345	0.333016	radar	1.66987	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3177	4.35089	5.11757	0.683395	0.350688	lidar	0.578537	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5286	4.51436	5.15636	0.697449	0.346193	radar	0.615069	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.7046	4.68421	5.13356	0.719649	0.351455	lidar	0.54341	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8601	4.85629	4.9168	0.752553	0.374842	radar	3.86768	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0223	5.08577	4.96882	0.795388	0.400718	lidar	1.08034	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1942	5.24536	4.92534	0.809678	0.395409	radar	1.40256	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3492	5.43177	4.91842	0.834546	0.400847	lidar	0.194245	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.5076	5.58829	4.8431	0.848336	0.395715	radar	2.72532	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
